id,c3,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey
12,AND,2003,27.21,9.9,13.8,17.1,21.8,37.4,4.3,5.6,6.5,7.3,8.1,9,10.2,11.6,14,23.4,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,High income,17266,14668,Euro,Year,,,,,73182,New 2018,High,13,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF)
13,AGO,1995,45,,,,,,4.4,,,,,,,,,42.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,,,,,0.00275023,,,2465,14268994,New 2018,Average,11,Research study,Sousa 2002,,The Inquerito Prioritario sobre as Condicoes de Vida aos Domicilios (IPCVD)
14,AGO,2001,51.96,3.18,7.84,12.71,20.16,56.12,0.98,2.2,3.34,4.5,5.66,7.05,8.81,11.35,15.87,40.25,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,1640.4,1037.64,US$2011PPP,Year,22.05786167,1640,1038,2898,16983266,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
15,AGO,2009,55,3,7,12,19,59,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,105204,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
16,AGO,2009,43,5,10,14,22,49,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,77388,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
17,AGO,2009,50,4,8,13,20,55,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Non-EU,Non-OECD,Lower middle income,71604,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
18,AGO,2009,38,6,11,15,22,45,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,Rural,Rural,All,All,Non-EU,Non-OECD,Lower middle income,48732,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
19,AGO,2009,55,3,7,12,19,59,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,132924,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
20,AGO,2009,39,6,11,15,22,45,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,101028,,Angolan kwanza,Month,79.32816667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
21,AGO,2009,42.72,5.43,9.62,14.46,21.94,48.54,2.07,3.36,4.32,5.3,6.54,7.92,9.65,12.29,16.23,32.31,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,1448.88,1044.24,US$2011PPP,Year,79.32816667,1449,1044,5908,22549547,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
22,ARG,1953,40,7.4,10.7,13.6,18.2,50.1,3.2,4.2,5,5.7,6.4,7.2,8.3,9.9,13,37.1,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,21288,Argentine peso,Month,,,,,18224150,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
23,ARG,1953,41.2,7.5,10.6,13.9,18.1,50,3.2,4.3,5,5.6,6.5,7.4,8.3,9.8,13.2,36.8,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,18224150,,Low,10,Research study,Weisskoff 1970,Argentina National Development Council,
24,ARG,1959,44.7,6.8,9.4,12.3,16.7,54.8,3,3.8,4.4,5,5.8,6.5,7.6,9.1,12.5,42.3,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,112824,Argentine peso,Month,,,,,20285531,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
25,ARG,1959,46.3,6.9,9.5,12.2,16.8,54.7,3,3.9,4.4,5.1,5.7,6.5,7.8,9,12.8,41.9,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20285531,,Low,10,Research study,Weisskoff 1970,,
26,ARG,1961,41.9,7,10.3,13.2,17.6,51.9,2.9,4.1,4.8,5.5,6.2,7,8,9.6,12.9,39,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,163680,Argentine peso,Month,,,,,20953077,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
27,ARG,1961,40.7,7.5,10.6,13.2,17.6,51.1,3.2,4.3,5,5.6,6.2,7,8,9.6,12.7,38.4,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,170256,Argentine peso,Month,,,,,20953077,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
28,ARG,1961,50.8,6.1,7.9,11.2,17.5,57.3,3,3.1,3.7,4.2,5.1,6.1,7.7,9.8,13.7,43.6,,33.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Rural,Agricultural sector,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,9,World Bank,Jain 1975,Cline 1972,
29,ARG,1961,42,7.2,10.2,13.8,19.4,49.4,3.2,4,4.7,5.5,6.4,7.4,8.7,10.7,13.8,35.6,,26.4,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Urban,Nonagricultural sector,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,9,World Bank,Jain 1975,Cline 1972,
30,ARG,1961,47.7,5,9.8,13.7,19,52.5,1.6,3.4,4.5,5.3,6.3,7.4,8.6,10.4,13.2,39.3,,30.8,Income (net/gross),"Income, net/gross",,,,Person,Urban,Nonagricultural sector,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,7,World Bank,Jain 1975,Synthetic estimates (UN-ECLA 1970),
31,ARG,1961,43.8,6.9,9.7,13.3,19.2,50.9,3.1,3.8,4.5,5.2,6.1,7.2,8.6,10.6,13.9,37,,32,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,10,World Bank,Jain 1975,UN-ECLA 69,
32,ARG,1961,49,5.1,9.3,13.1,18.6,53.9,1.8,3.3,4.3,5,6,7.1,8.4,10.2,13.2,40.7,,32,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Person,Person,All,All,Economically active,Income recipients,Non-EU,Non-OECD,High income,92140,,Argentine peso,Year,,,,,20953077,,Not known,9,World Bank,Jain 1975,UN-ECLA 69,
33,ARG,1961,53.1,5.2,8.2,11.7,17.1,57.8,2.1,3.1,3.7,4.5,5.3,6.4,7.6,9.5,12.6,45.2,,36.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Person,Person,Rural,Agricultural sector,Economically active,Income recipients,Non-EU,Non-OECD,High income,78620,,Argentine peso,Year,,,,,20953077,,Not known,8,World Bank,Jain 1975,UN-ECLA 69,
34,ARG,1961,42.3,7,,,,,,,,,,,,,,,,29.4,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,8,Research study,Cromwell 1977,Weisskoff 1970,
35,ARG,1961,42.5,,,,,,,,,,,,,,,,,,Earnings,Primary income,No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,6,Research study,Lecaillon et al. 1984,,
36,ARG,1961,47.8,,,,,,,,,,,,,,,,,,Earnings,Primary income,,,,Person,Urban,Urban,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,3,Research study,Lecaillon et al. 1984,,
37,ARG,1961,42,7,10.4,13.2,17.9,51.5,,,,,,,,,,,,29.3,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,11,Research study,Paukert 1973,Weisskoff 1970,
38,ARG,1961,43.4,7,10.4,13.2,17.9,51.6,2.9,4.1,4.9,5.5,6.1,7.1,8.1,9.8,12.6,39,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,10,Research study,Weisskoff 1970,Argentina National Development Council,
39,ARG,1963,37.3,6.8,11,15.2,21.3,45.7,2.7,4.1,5,6,7.1,8.1,9.6,11.7,15.2,30.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,252300,Argentine peso,Month,1.38717E-11,,,,21621840,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos de Consumo
40,ARG,1963,35.8,7.2,11.6,15.3,21.2,44.7,2.9,4.3,5.3,6.3,7.2,8.1,9.5,11.7,15.2,29.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,258300,Argentine peso,Month,1.38717E-11,,,,21621840,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos de Consumo
41,ARG,1963,38.5,6.8,10.8,15,21.7,45.7,2.8,4,5,5.8,6.9,8.1,9.8,11.9,15.6,30.1,,19.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,1.38717E-11,,,,21621840,,Low,10,World Bank,Jain 1975,World Bank. Compilation,"Encuesta Sobre Presupuestos de Consumo de las Familias Urbanos, por Niveles de Ingreso para 1963"
42,ARG,1965,35.3,6.4,11.7,16.3,22.8,42.7,2.3,4.1,5.3,6.4,7.5,8.8,10.5,12.3,15.7,27,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,387192,Argentine peso,Month,1.69567E-11,,,,22283390,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Consumo de Alimentos
43,ARG,1969,37.3,6.2,11.1,15.7,22.1,44.9,2.3,3.9,5.1,6,7.2,8.5,10.1,12,15.7,29.2,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,12696,Argentine peso,Month,3.5E-11,,,,23605987,,Average,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos Familiares
44,ARG,1970,36.1,6.3,11.7,16.2,22.9,43.4,2.3,4,5.6,6.1,7.6,8.6,10.7,12.2,15.8,27.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,9252,Argentine peso,Month,3.79167E-11,,,,23973058,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Empleo y Desempleo: Suplemento de Ingresos
45,ARG,1970,41.1,5.6,10.6,15.1,21.7,47,1.9,3.7,4.8,5.8,6.9,8.2,9.7,12,15.4,31.6,,21.4,Income (net/gross),"Income, net/gross",,,,Person,Urban,Capital,All,All,Non-EU,Non-OECD,High income,,,,,3.79167E-11,,,,23973058,,Low,7,World Bank,Jain 1975,World Bank. Compilation,
46,ARG,1972,35.3,6.3,12,16.6,22.1,43,2.2,4.1,5.4,6.6,7.7,8.9,10.1,12,15.3,27.7,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Non-EU,Non-OECD,High income,,11712,Argentine peso,Month,5E-11,,,,24782949,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Nacional de Hogares
47,ARG,1972,33.4,6.9,12.5,16.8,22,41.8,2.5,4.4,5.7,6.8,7.9,8.9,10.1,11.9,15.2,26.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,12216,Argentine peso,Month,5E-11,,,,24782949,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
48,ARG,1974,34.5,7.2,11.9,16.5,22.7,41.8,2.8,4.4,5.4,6.5,7.6,8.9,10.4,12.3,15.5,26.3,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,5E-11,,,,25644506,New 2018,High,12,SEDLAC,SEDLAC 2018,,
49,ARG,1974,32.2,7.8,12.6,16.9,22.5,40.2,3.1,4.7,5.8,6.8,7.9,9,10.4,12.1,15.1,25.1,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,5E-11,,,,25644506,New 2018,High,12,SEDLAC,SEDLAC 2018,,
50,ARG,1974,36,6,11.5,16.4,22.9,43.2,2.2,3.8,5.2,6.3,7.6,8.8,10.4,12.5,16.1,27.1,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,43620,Argentine peso,Month,5E-11,,,,25644506,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
51,ARG,1974,34.4,6.8,,,,,,,,,,,,,,26.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,5E-11,,,,25644506,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
52,ARG,1975,36.1,5.9,11.4,16.5,23.3,42.9,2.2,3.7,5.1,6.3,7.5,9,10.5,12.8,16.2,26.7,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,124212,Argentine peso,Month,3.6575E-10,,,,26066975,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
53,ARG,1975,34.7,6.3,,,,,,,,,,,,,,26.4,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,3.6575E-10,,,,26066975,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
54,ARG,1976,35.2,7,,,,,,,,,,,,,,27.2,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,1.39983E-09,,,,26477152,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
55,ARG,1977,40.3,6.4,,,,,,,,,,,,,,31.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,4.07633E-09,,,,26878565,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
56,ARG,1978,43.4,5.6,,,,,,,,,,,,,,34,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,7.9575E-09,,,,27277741,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
57,ARG,1979,41.3,5.9,,,,,,,,,,,,,,32.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,1.31697E-08,,,,27684534,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
58,ARG,1980,39.3,5.9,10.5,15.4,22.5,45.7,2.2,3.7,4.7,5.8,7,8.4,10,12.5,16.5,29.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,677348,,Local currency unit,Year,1.83716E-08,,,,28105888,New 2018,High,12,SEDLAC,SEDLAC 2018,,
59,ARG,1980,37.6,6.5,11.1,15.5,22.4,44.6,2.6,3.9,5,6.1,7.1,8.4,10,12.4,16.3,28.3,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,1.83716E-08,,,,28105888,New 2018,High,12,SEDLAC,SEDLAC 2018,,
60,ARG,1980,41.6,5,9.5,14.9,22.8,47.8,2,3,4.2,5.3,6.7,8.2,10,12.8,16.9,30.9,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,24438000,Argentine peso,Month,1.83716E-08,,,,28105888,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
61,ARG,1980,40.5,6.2,,,,,,,,,,,,,,31.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,1.83716E-08,,,,28105888,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
62,ARG,1980,40.8,5.3,10.3,15.2,22.6,46.6,1.9,3.4,4.6,5.7,6.9,8.3,10.1,12.5,16.6,30,,,Income (net),"Monetary income, net",Per capita,Per capita,Household,Person,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,7032000,,Argentine peso,Month,1.83716E-08,,,,28105888,,Average,12,Research study,Psacharopoulos et al. 1997,,Encuesta Permanente de Hogares
63,ARG,1981,42.7,5.2,9.4,14.3,21.4,49.7,2.1,3.1,4.2,5.2,6.4,7.9,9.5,11.9,16.2,33.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Non-EU,Non-OECD,High income,,45446400,Argentine peso,Month,4.40269E-08,,,,28543364,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
64,ARG,1981,42.8,5.8,,,,,,,,,,,,,,34.2,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,4.40269E-08,,,,28543364,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
65,ARG,1982,40.2,6,,,,,,,,,,,,,,31.8,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,2.59225E-07,,,,28993987,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
66,ARG,1983,40.4,5.5,,,,,,,,,,,,,,31.9,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,1.053E-06,,,,29454738,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
67,ARG,1985,39.8,6.3,,,,,,,,,,,,,,31.4,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Person,Person,Urban,Metropolitan area,Economically active,Economically active,Non-EU,Non-OECD,High income,,,,,6.01809E-05,,,,30388783,,Low,8,Research study,Fishlow et al. 1993,,Encuesta Permanente de Hogares
68,ARG,1986,42.2,5.5,9.9,14.7,21.7,48.2,2.1,3.4,4.4,5.5,6.7,8,9.7,12,16.2,32,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,163,,Local currency unit,Year,9.43032E-05,,,,30857244,New 2018,High,12,SEDLAC,SEDLAC 2018,,
69,ARG,1986,40.5,6,10.5,14.8,21.5,47.3,2.3,3.7,4.8,5.7,6.7,8.1,9.6,11.9,16.1,31.2,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,9.43032E-05,,,,30857244,New 2018,High,12,SEDLAC,SEDLAC 2018,,
70,ARG,1986,42.79,5.11,9.8,14.79,21.87,48.44,1.95,3.16,4.32,5.48,6.7,8.09,9.78,12.09,16.01,32.43,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,10356.12,7623.24,US$2011PPP,Year,9.43032E-05,10356,7623,,30857244,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
71,ARG,1987,44.8,4.8,9.4,14,21.4,50.4,1.7,3.1,4.2,5.2,6.3,7.7,9.5,11.9,16.3,34.1,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,344,,Local currency unit,Year,0.00021443,,,,31326473,New 2018,High,12,SEDLAC,SEDLAC 2018,,
72,ARG,1987,43.1,5.4,9.8,14.4,21.3,49.1,2,3.4,4.4,5.4,6.6,7.8,9.4,11.9,16.1,33,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,,,,,0.00021443,,,,31326473,New 2018,High,12,SEDLAC,SEDLAC 2018,,
73,ARG,1987,45.28,4.61,9.17,14.21,21.5,50.49,1.73,2.88,4.01,5.16,6.4,7.81,9.55,11.95,16.07,34.42,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,High income,9466.44,6692.88,US$2011PPP,Year,0.00021443,9466,6693,,31326473,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
